Tweet,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,num_labels
untukmu kamu bajingan wajahmu setan mulutmu iblis mengaku manusia padahal binatang mesum dan seni monyet,1,0,0,0,1,1,3
waktu mata pelajaran ekonomi di sampai sama bolos mas apa remedial,0,0,0,0,0,0,0
komunis kok berabad partai komunis indonesia kecoak makan kecoak dong,0,1,0,1,0,0,2
dunia kan penuh munafik sok suci seperti kamu kalau semisal itu ahok pasti kamu bilang kalau tidak salah kenapa kabur tapi karena sih cabul adalah sih jijik kamu memek sendiri kamu bohongi diri sendiri kamu tidak bertanya kenapa kabur kalau tidak salah meme,1,0,0,0,0,1,2
cuma kafir tulen yang memilih fuck,0,1,1,0,0,0,2
ternyata dengan di takut inya oleh tim komunis akan di komisi pemberantasan korupsi kan akhirnya tuan guru bajang menyerah k pengakuan zionis pkip,0,0,0,0,0,0,0
haha kamu diejek buih tapi memang pantas sih,1,0,0,0,0,0,1
eh kunyuk uniform resource locator,0,0,0,0,0,0,0
perjaka kok jual di sok sok an mau booking tante anjir idiot,1,0,0,0,1,1,3
jadi ingat pernah menonton film piramid begitu ramai seram yang lain teriak gue sama teman gue tertawa sudah sinting,0,0,0,0,0,0,0
dari asing menjadi saling kenal satu sama lain sampai kemudian kembali asing lagi dan pada akhirnya seolah mendamaikan sesuatu yang salah pada masa itu semoga tidak kembali ke asing lagi bosku cape aku itu,0,0,0,0,0,0,0
kalau ucup bikin gerak cepat khusus anak jief mak kunti dan deh geng marah tidak ya,0,0,0,0,0,0,0
hasil revolusi mental kenapa pada jadi cacat mental ganti optimis presiden,1,0,0,0,1,0,2
silakan simak gubernur indonesia pak bertemu presiden salat jum at bersama,0,0,0,0,0,0,0
dengan dibukanya bandara ini berarti ada lapangan pekerjaan yang cukup besar ekonomi tumbuh masyarakat sekitar dapat menikmati manfaatnya,0,0,0,0,0,0,0
sabar saja tunggu tahun tidak usah kebelet ya prabowo,1,0,0,0,0,0,1
sayang sekali bangsa ini paling jago kalau merasa rasa yang mendukung pak ahok merasa paling benar yang mendukung mas anies merasa paling suci,0,1,0,0,0,0,1
gue sih ya dibilang sombong biasa saja karena gue tidak merasa kalau gue sombong tidak kayak kamu diejek sombong sedikit kayak setan,0,0,0,0,0,0,0
penggunaan make up skincare yang mengandung merkuri walau dipakai sedikit seperti lipstik di bibir tapi ternyata dapat meresap melalui pori pori xf x f x xb r pada wanita hamil merkuri yang terserap bisa mengakibatkan pertumbuhan janin terhambat c,0,0,0,0,0,0,0
semoga kamu di laknat allah karena merusak islam dari dalam,1,0,1,0,0,0,2
wakil presidennya pak prabowo agar stabil indonesia tidak saling sikut nyinyir dan sebagainya pak prabowo layak menjadi wakil untuk ketahanan dan pertahanan indonesia selain itu juga beliau pak jokowi dan pak prabowo akan saling melindungi dari antek,0,0,0,0,0,0,0
di dunia ini kayaknya cuma jokowi ya presiden yang dituding liberal kapitalis sekaligus komunis juga lemah sekaligus otoriter,1,0,0,0,0,0,1
ya ada yang dari pihak fan nya mino sama dari pihak yang ingin menjatuhkan mino perek dan antek antek nya dan nih lost the receipts but still aku yang sudah baca dua dua nya memutuskan untuk diam saja,0,0,0,0,0,0,0
keren umat kapan buddha usir kita dari indonesia,0,1,1,0,0,0,2
sebelum tentara saudi di suriah isis banci lari ke uniform resource locator uniform resource locator,0,1,1,0,0,1,3
membawa islam tetapi cara partai komunis indonesia partai komunis syariat,0,1,1,1,0,0,3
mak monyong lambe kamu kalau sama bajingan yang beginian diam iya saja lambe monyong kamu itu dasar goblokkkk uniform resource locator,1,0,0,0,1,0,2
he hehe yang suka jual gorengan kan rezim jokowi betul,1,0,0,0,0,0,1
kenapa harus bom ya kayak yang benar menunjukkan kita ini siapa dengan embel xe x x cbom xe x x di masih bikin takut orang orang sebenarnya nya apalagi keluar yang menjadi korban,0,0,0,0,0,0,0
mungkin harus dimulai dengan lepas politik label antek orde baru kanan fundamentalis,0,1,0,0,0,0,1
pemberantasan ekstrem kiri partai komunis indonesia sudah dilaksanakan tahun sekarang giliran ekstrem kanan teroris,0,0,0,0,0,0,0
satu lagi makhluk serupa parasit muncul kamu lebih hina dari seekor belatung onta bangsat kamu,1,0,0,0,0,0,1
tai isinya ya,0,1,0,0,0,1,2
skip saja ya bikin mata gue makin sipit,0,0,0,0,0,0,0
tomohon juga merupakan pusat pembelajaran agama kristen dan katolik ada tempat khusus untuk berdoa dan meditasi yang disebut bukit kasih sebuah tempat suci yang indah dan tenang tomohon international flower festival dan nor,0,0,0,0,0,0,0
owner nya enggak ada ordernya ada sakit,0,0,0,0,0,0,0
karena mereka sadar rezim kesempatan ini buat neo komunis bangkit kembali kapan atau lagi tidak sama sekali,1,0,0,1,0,0,2
iklan ahok jahat teroris nyata di indonesia bukan wahabi onta tapi babi milik cina penebar teror sesungguhnya,0,1,0,1,0,0,2
teman hamil di luar nikah suaminya adik kelas gue dan di di o pas gue sudah lulus dari waktu wisuda sudah ada orang tua murid yang berasa itu perut melendung bukan karena gendut sempat dibecandai juga kalau dia hamil eh taunya benaran sekarang sudah lahiran amp ya sama,0,0,0,0,0,0,0
pak proses buang islam tak boleh main paksa tapi harus dilakukan dengan kesadaran sendiri,0,1,1,0,0,0,2
bedebah teror psikologis agar pilih jokowi,1,0,0,0,0,0,1
wisma darul aman kerja xc banci xb lebih politik xf lah x f x x,0,1,0,0,0,1,2
ah kamu sudah dibayari ke luar negeri masih saja mengeluh dasar enggak bersyukur dan kontol,1,0,0,0,0,0,1
pers harus mendorong penipuan islam dibuka agar indonesia bebas dari jerat islam saya siap menjelaskan,0,1,1,0,0,0,2
apaan sih bego namanya juga internet aduh goblok,1,0,0,0,0,0,1
rep help lelang mata kamu picek mentang nama pengguna kita sama iya depannya terus kamu bilang kalau gue mengikuti usn kamu amat kamu diikuti segalanya,1,0,0,0,1,0,2
cina tidak termasuk salah ras di indonesia beda dengan,0,1,0,1,0,0,2
enggak lihat direct dari kamu ah sudah tau gue bertanya tentang apa bolot xf x f x xa,1,0,0,0,1,0,2
komunis kamu bangsat keluar kalian segera kapan pun di mana pun resource,0,1,0,1,0,0,2
kenapa ulama tidak bereaksi terhadap begitu ini lebih gila menghina islam apakah cuma senilai dunia agama kalian,0,1,1,0,0,0,2
pegawai bank danamon lagi asyik mengemut kontol pacarnya video lengkapnya begitu begitu uniform resource locator bokep terbaru xe x xa,0,0,0,0,0,0,0
kalau partai komunis indonesia bunuh orang islam itu karena mereka anti agama tapi kalau orang islam bantai komunis partai indonesia itu karena jihad membela diri komunis partai indonesia yang memulai,0,1,0,1,0,0,2
negara ini sudah terjual inilah hebatnya dekat lek jokowi itu negara sudah di keteng dan sudah ada kuasa pemerintah di negara ini calon pegawai negeri sipil tahun ini di untuk sinamata sipit sudah memerkosa negara sendiri pengkhianat dasar partai komunis indonesia,1,0,0,1,0,0,2
atas tuduhan majelis indonesia ulama mengoplos mudah dibantah islam oplosan lebih berbahaya dewan perwakilan rakyat proses pengurus hukum gerakan fajar nusantara,0,1,1,0,0,0,2
itu artinya aku yahudi,0,0,0,0,0,0,0
xe x x cnyetir apaan orang mobil di depan saja tidak bergerak idiot xe x x di dan windy semakin kesal karena yoga yang sangat tidak peka akan kondisi perutnya saat ini ia lalu diam dan menatap ke depan,0,0,0,0,0,0,0
kenapa orang baik selalu dikasih cobaan dengan berhubung sama orang yang berengsek xf x f x x,0,0,0,0,0,0,0
cowok itu cuma ada macam kalau tidak bajingan ya banci raditya dika tetapi kenapa ya cewek tetap suka sama bajingan,0,0,0,0,0,0,0
kan alamat kerjaku sudah aku kasih tadi datang saja biar kubuktikan itu kamu juga lgbt aka kaleng banci,1,0,0,0,0,1,2
ketikannya ganteng tidak banci jago sedikit dong,0,0,0,0,0,0,0
anjing kamu dua ribuan memang uniform resource locator,1,0,0,0,0,0,1
cebong dungu gam bukan partai politik,0,1,0,0,0,0,1
dasar gila,1,0,0,0,1,0,2
asing lah nih forever young aku dengar ulang ulang sial dengan musik video sekali,0,0,0,0,0,0,0
program melindungi sepenuhnya seluruh produk warisan budaya ekspresi budaya tradisional dan hak cipta para seniman asyikm di asyikm di,0,0,0,0,0,0,0
pride yunani xe xbd x xcf x xce xb xcf x xce xb xcf x xce xb xce xbd xce xaf xce xb hyper xc x phania keangkuhan harga diri kesombongan dikenal juga dengan sebutan hubris vanity harga diri yang tinggi dapat mengubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhan dan dapat membuat manusia mencintai dirinya sendiri,0,0,0,0,0,0,0
cina kafir ini adalah dasar komunis,1,0,1,1,0,0,3
kenapa setelah peristiwa prabowo diberhentikan dari tentara nasional indonesia dan kabur ke jordania ada yang bisa kasih penjelasan,1,0,0,0,0,0,1
ratusan massa masyarakat islam gerebek lebih jakarta ganyang partai komunis indonesia uniform resource locator resource locator,0,1,0,1,0,0,2
ada yang mau kirim foto kontol tidak nih sange chat sex,0,0,0,0,0,0,0
kalau rezim sudah berganti saja pulang anti islam tidak bisa dipercaya,1,0,1,0,0,0,2
ganyang komunis partai indonesia itu kewajiban dalam menjaga negara kesatuan republik indonesia dan pancasila uniform locator resource,0,1,0,1,0,0,2
peraturan presiden jokowi lebih tegas daripada peraturan presiden susilo bambang yudhoyono buka matamu lihat jangan hanya bacot bodoh in pengikut pak,1,0,0,0,0,0,1
anies sandi gunakan produk saracen untuk kampanye uniform resource locator,1,0,0,0,0,0,1
mata debat jakarta sih cina babi ahok belum banget sok pintar lagi asal bukan ahok,1,0,0,1,0,0,2
gue doakan budek kamu x f x tidak,1,0,0,0,1,0,2
Nusantara islam tidak bedanya ada sama cebong nusantara,0,1,1,0,0,0,2
iklan ahok jahat ahok menciptakan bara antara pribumi dengan tionghoa yang dibalut dengan fobia ahok kafir racist,1,0,1,1,0,0,3
dianya berlaku dan penderitaannya itu akhirnya sampai ke pengetahuan abu bakar as sidik yang membeli zinnirah dengan harga tinggi sejak itu dia tekun beribadah dan dengan kurnia allah kedua dua matanya yang buta itu bercahaya semula peristiwa yang me,0,0,0,0,0,0,0
budek,1,0,0,0,1,0,2
Bolot dasar resource uniform locator,1,0,0,0,1,0,2
nama buni yani status terdakwa kasus pelanggaran undang undang informasi transaksi elektronik diduga mendukung anies sandi,1,0,0,0,0,0,1
ganteng banget anjir gue menggelepar,0,0,0,0,0,0,0
saya melihat terutama di sisi promosi untuk asian games ini baik di media lokal maupun media media internasional yang belum ada pergerakannya kata presiden saat memimpin rapat terbatas membahas persiapan asian games di istana bogor rabu,0,0,0,0,0,0,0
sudah nanti kalau dia on gue omelin tenang saja sudah orang gila begitu yel jadikan orang barang kan orang bego dongok sinting sarap bajingan,1,0,0,0,1,0,2
priski banget,1,0,0,0,1,0,2
para alumni tidak demo itu bawang asing di impor wkwk,0,0,0,0,0,0,0
cuk bangun mau bubur tai ayam tidak,0,0,0,0,0,0,0
anggota perwakilan dewan rakyat dan dewan perwakilan daerah yang terhormat posting apakah yusuf mansyur termasuk penipuan alquran bunuhlah penggalah,0,1,1,0,0,0,2
masa bodoh tepati janji urusan belakangan yang terpenting jadi presiden dulu,0,0,0,0,0,0,0
ya kalau dalaman nya orang bejat semua susah buat bangkit,0,0,0,0,0,0,0
gajah yang ridwan kamil itu ya kirain habis kasus itu bakal dibenahi taunya kemarin kesana itu tetap memprihatinkan dan kandang buaya nya saja seram takut kabur burung saja pada diam dan tidak kuat sampai ujung saking sedihnya total jalan cu,0,0,0,0,0,0,0
nasib indonesia menderita setelah dipimpin oleh jokowi,1,0,0,0,0,0,1
kalau sekarang ada partai komunis indonesia gaya baru jokowi antek komunis,1,0,0,1,0,0,2
aduh rindu gesekan kontol dia ke memek,0,0,0,0,0,0,0
kok tambah dungu bang,1,0,0,0,0,0,1
malam ini kepala badan pembinaan ideologi pancasila menjadi pembicara bersama menteri agama rektor universitas islam negeri sumatra utara dan habib jindan bin novel dalam mengaji indonesia kita indonesia kita berbudaya universitas islam negeri sumatra utara medan,0,0,0,0,0,0,0
ahok sih kutil babi kembali ke rumah lembang kenapa jakarta jadi banjir bud,1,0,0,0,0,0,1
itu bukan persoalan tekan jabatan tetapi siasat lari dari lingkar politik antek pemilik modal karena islam progresif sesuai mukadimah undang undang dasar akan mengamalkan qs al hujurat,0,0,0,0,0,0,0
kenapa tidak selamat natal saja xf sekalian x f xa x hehe dasar sih bolot admin xf x f x x di,0,1,0,0,1,0,2
begini saja tempeng saja itu bocah yang mengancam presiden lihat bagaimana reaksi para kacung nya,1,0,0,0,0,0,1
mending jokowi yang mundur uniform resource locator,1,0,0,0,0,0,1
biasa bani coli tidak beda jauh sama junjungan dan kawan nya haha,0,1,0,0,0,1,2
urus telur saja tidak becus bagaimana dengan urusan yang lain dan dasar cungkring sudah peang meminta x,1,0,0,0,1,0,2
itu cuma bacot doang gue yakin tidak akan berani melakukan,0,0,0,0,0,0,0
daging onta,0,0,0,0,0,0,0
pak walau anda muslim jangan lihat posting ini sebagai kebencian ditulis demi kemajuan bangsa,0,0,0,0,0,0,0
presiden hadiri milad pergerakan mahasiswa islam indonesia selamat ulang tahun pergerakan mahasiswa islam indonesia tetap jokowi jokowi periode jokowi dua periode jokowi membangun indonesia,0,0,0,0,0,0,0
aku malah kebalikannya hem tapi kalau sudah akrab sama teman rl selalu dibilang yang paling banyak bacot akunya,0,0,0,0,0,0,0
katanya indonesia lenyap punya tolol pujaan ya pengikutnya lebih tolol bencong dan anak nya pun ikut bencong,0,1,0,0,0,1,2
ahok penjarakan lengserkan jokowi komunis cina penistaan alquran an penistaan agama ulama kriminalisasi kriminalisasi organisasi masyarakat islam,1,0,0,1,0,0,2
berarti kamu cacat,1,0,0,0,1,0,2
allah subhanahu wa taala dungu biadab berjarak vilanya di makkah di ar saya tak pernah masuk hati mengecewakan buang,0,1,1,0,0,0,2
punya manusia teman homo heran amat,1,0,0,0,0,1,2
ciri khas mungkin termasuk anda tidak berani berargumentasi beraninya bawa malaikat,0,1,1,0,0,0,2
tai isinya banci semua ya,0,1,0,0,0,1,2
indonesia mengakui cina padahal,1,0,0,1,0,0,2
pengikut mli pada kayak tai nih giliran twit tidak lucu dibilangnya gue yang admin giliran twit lucu malah dibilang twit xe x xa,0,1,0,0,0,0,1
dasar belum tau mana sekarang fiksi mengunduh buku gampang dasar perek harga seratusan xf x f x x x xf f x x xf x f x x,1,0,0,0,0,1,2
abdul sattar edhi bapak sederhana yang memiliki ribuan armada ambulans gratis pernah ditanya kenapa kamu juga bantu orang kristen dan hindu dalam ambulansmu ia menjawab karena ambulansku lebih muslim darimu respect peace human,0,0,0,0,0,0,0
lagi menunggu seseorang datang ke rumah dan kebelet tai itu sesuatu,0,0,0,0,0,0,0
Anda kalau melihat agama yang mayoritas selalu merasa tertindas dan teraniaya berarti anda sudah sampai di indonesia,0,1,1,0,0,0,2
apa menulis saja salah harusnya kan sportivitas baru benar ahai banci kaleng kena goreng lagi memalukan sih gembel warung internet xf x f x xf x f xa xa xf x f x x xf x f x x,1,0,0,0,0,1,2
alasan kebanyakan nsi banci belum itu cuma takut uniform malu resource locator,1,0,0,0,0,1,2
intinya pokok pikiran adalah sumatra memiliki kekayaan atas oil karet sawit batubara dan lain sebagainya dan tidak ingin kekayaan mereka dijual oleh pemerintah jawa pada asing dan koruptor terlebih bisa jalankan syarat islam tanpa,0,0,0,0,0,0,0
lelaki melayu nih biasa cik cik sekalian pakai seksi dikatanya zina mata tapi bila tengok porno dikatanya xe x x celok lah daripada aku berzina xe x x di sesungguhnya golongan ini bodoh macam tombol pintu,0,0,0,0,0,0,0
cont dan himmler merupakan pimpinan divisi screenshoot dan beserta perwira screenshoot yang lain meyakini bahwa yesus itu bukanlah orang yahudi tetapi orang ras arya dan dan cont,0,0,0,0,0,0,0
yang memble up jokowi itu adalah media media televisi dan koran milik orang cina yang notabene kafir semua coba saja cek dilapangan,0,1,0,1,0,0,2
kahwin awal tak pe tapi biarlah ada landasan agama jangan jadikan usia sebagai penghalang utama bila sudah sampai masa untuk mereka kahwin kawinkanlah dan jangan tangguhkan tapi kena sama bantu kalau orang muda ada problem,0,0,0,0,0,0,0
sekolah di sana harus jadi antek paman sama bro kurikulum wajib trump salah pemegang saham freeport mcmoran incorporate,0,0,0,0,0,0,0
pemberitaan saracen diframing katak seakan tim prabowo dan anies sandi sebenarnya itu media menumpahkan sakit hati katak dan cebong ehe,0,1,0,0,0,0,1
anda dibodohi diperbudak muhammad mati diracun bau,0,1,1,0,0,0,2
tabayun sebelum ngomyang cocot busuk wkwk dipelihara memainkan isu sara kok bangga,1,0,0,0,1,0,2
nabi saja dikejar kejar dan dinistakan oleh orang kafir dari dulu sampai sekarang terus kita disuruh menyanjung orang yang jelas memusuhi agama ini akal sehat mana akal sehat,0,0,0,0,0,0,0
namanya titit kalau itu tutut,0,0,0,0,0,0,0
dibedakan mana budaya ajaran islam ajaran islam sesuai al qur an dan hadis yang sahih ini hanya buat umat islam beda dengan budaya arab adat istiadat orang arab bisa orang islam kristen misalnya pakai kerudung baju gamis makan unta piara jambang di,0,0,0,0,0,0,0
admin tolol di partai tolol partai tolol untuk orang tolol,0,1,0,0,0,0,1
ya gue punya kakak laki mulutnya lemas banget kayak banci yang marah dan mentolo tak gue cangkem e,1,0,0,0,0,1,2
ah masa iya gue sempat pikir apa nanti super giant dikeluarkan pas avenger karena dia kuat banget tapi kalau melihat di game marvel future fight itu super giant culun habis dibanding black order yang lain,0,0,0,0,0,0,0
kamu tidak budek cuma,1,0,0,0,1,0,2
pusar p jokowi empu rubah nasib rakyat kereta sehat infrastruktur khusus papua bangun infrastruktur agar tercipta centra ekonomi untuk tingkatan ekon rakyat papua mks ke pare jalan kereta api bangun jalan tol mrt dan light rail transit di jakarta secara tidak langsung untuk ubah nasib rakyat,0,0,0,0,0,0,0
tidak juga tidak ada orang kayak di sekolah negeri dan yang benaran beragam kayaknya sekolah kristen yang tidak mahal kayak miskin macam etnis,0,0,0,0,0,0,0
cebong sudah girang padahal di kibuli bong mata kamu pada picek,0,1,0,0,1,0,2
islam pakai huruf gede semua wah tenang kami tidak buta mata tidak buta hati dan tidak hilang nurani kau boleh memilih semaumu jadi aku pun boleh memilih semauku adilkan kecuali kamu tidak mengerti makna keadilan,0,0,0,0,0,0,0
dua orang sarap kalau disatukan bagaimana jadinya cobaaak xf x f x x xf x f x x,0,0,0,0,0,0,0
bot mau bertanya ih liebe ih artinya apa yang jawab nanti bot kasih ipad yang barusan mencemplung di jamban kuda xe x xa xcc xaf xcd xa xe x xa xcc xaf xcd xa,0,0,0,0,0,0,0
bagai rumah bawah ranah yang indah seorang pendiam dan culun walau dengan bakar besar,0,0,0,0,0,0,0
masyarakat sudah tidak membutuhkan dewan perwakilan rakyat bahkan justru terasa membebani rakyat dan negara uniform resource locator,0,1,0,0,0,0,1
pilihan kepala daerah ntt,0,0,0,0,0,0,0
tahun lalu aku solo trip ke seoul hari tanpa tau bahasanya malah ketemu orang yang mengajak mengobrol dengan english seadanya dan bahkan pakai japanese juga menunjukkan kalau ternyata mereka ada ketertarikan sama orang asing tidak ketemu orang j,0,0,0,0,0,0,0
cebong dungu apakah ada aturan di tentang larangan tulisan berita,0,1,0,0,0,0,1
kalau rezim sudah berganti saja pulang anti islam bisa,1,0,1,0,0,0,2
masih percaya saja sama cina heran semua pejabat di indonesia ini sama cina dan kristen tegakkan hukum usir cina,0,1,1,1,0,0,3
memang yang bubarkan partai komunis indonesia orde baru cara maka orde baru adalah paling pas lanjutkan berantas partai indonesia komunis,0,1,0,1,0,0,2
memang indihome,0,1,0,0,0,1,2
mak lambe monyong kamu kalau sama bajingan beginian diam saja iya lambe monyong kamu itu dasar goblokkkk uniform locator,1,0,0,0,1,0,2
sebagaimana data di negara gara komunis dia sebutkan di rezim komunis nyawa rakyat juga gratis,1,0,0,1,0,0,2
fitnah fitnah tapi disukai juga dasar onta,1,0,0,0,0,0,1
iya sipit xf x f x xb lah malah tertawa iya jangan marah ya skincare mahal xf x f x x,0,0,0,0,0,0,0
untuk gubernur daerah khusus ibukota yang terhormat saya kasih saran tolong buat tpa sampah jangan perbanyak apartemen rumah apalagi mal,0,0,0,0,0,0,0
pak pribadi sebagai anda boleh tak peduli ditipu sebagai islam menteri penipuan ini harus dibuka,0,1,1,0,0,0,2
lawan kita adalah yahudi zionis semua harus fokus ke sana itu lihat betapa rukunnya sesama orang yahudi meski beda aliran kalau kita sesama muslim tidak rukun bagaimana mau menang lawan yahudi,0,1,1,0,0,0,2
sok kenal kamu kunyuk,1,0,0,0,0,0,1
gampangan banget sih jadi orang baru dipuji saja sudah kayak memberi kehormatannya saja haha tolol,1,0,0,0,0,1,2
dimas manusia homo suka pentil mimi peri,1,0,0,0,0,1,2
di tunggu aksi bela kafir hari tanu,1,0,1,0,0,0,2
lokal prestasi hebat buat presiden yang sering dituduh antek asing,0,0,0,0,0,0,0
mbak kunti kuntinya itu lo xf x f x xb,0,0,0,0,0,0,0
suka merasa kangen sama teman dan sahabat lama yang dulu kalau apa selalu bareng tapi aneh sekalinya ketemu lagi merasa kayak asing,0,0,0,0,0,0,0
palestina antek juga toh asing,0,1,0,1,0,0,2
bong suka banget hebohkan hal receh pohon plastik lah bambu lah giliran untuk isu besar kayak ekonomi yang anjlok tenaga kerja asing ilegal merajalela ketahanan nasional dan lain lain mereka diam memang kapasitas otaknya kecil kali ya tidak,0,1,0,0,0,0,1
tapi masih menikmati kebijakan yang dulu diusulkan partai komunis indonesia lah iya apa,0,1,0,1,0,0,2
ganti presiden pilihan kepala daerah daerah khusus ibukota kita sudah singkirkan ahok insya allah ganti presiden,1,0,0,0,0,0,1
mumpung lagi bulan september ganyang partai komunis indonesia,0,1,0,1,0,0,2
yang jadikan autis buat bahan bercandaan,0,0,0,0,0,0,0
penggusuran paksa adalah pelanggaran berat ham terutama dari hak ekonomi sosial budaya dimana di situ ada hak atas hunian layak lalu apa hubungannya dengan kasus pak novel baswedan hak asasi manusia hunian layak,0,0,0,0,0,0,0
mungkin maksud pemerintah dengan dihibahkan ke mereka maka akan tercatat sebagai aset dan bisa dianggarkan biaya perbaikan dan perawatannya secara rutin,0,0,0,0,0,0,0
in anak sama bapak sama tukang kibul disekolahkan tinggi biar pintar ini yang ada malah tambah goblok bin tolol,1,0,0,0,0,0,1
goblok sekali sudah lah malas lihat laporannya kalau begini doa saja tahun depan juara lagi,0,0,0,0,0,0,0
eh ketahuan proyek nya cina yang garap terlalu apa putra putri tidak indonesia kesempatan diberi uniform resource locator,0,1,0,1,0,0,2
yang goblok kakak mengakuinya pancasila negara kesatuan republik indonesia tapi otak dan hatinya komunis katanya rezim korupsi tetapi dalam minggu kali ott komisi pemberantasan korupsi,0,1,0,1,0,0,2
tai doi,0,0,0,0,0,0,0
keren kapan buddha kita usir indonesia,0,1,1,0,0,0,2
ya kalau kalian kan jadi jongos nya sipit,0,1,0,1,0,0,2
kayak monyet lis v pulang oi pulang,0,0,0,0,0,0,0
oh kamu ngewe mamak kamu lah kamu lahir dari hasil inses kamu sama mamak kamu ih banci ini bagaimana sih sampai ibunya di ngewe kamu kelakuan anak haram kayak kamu seram ya sudah jadi hater pemerintah ter,1,0,0,0,0,1,2
kalau aku jadi gubernur bank akan aku minta seluruh pecahan uang dicetak dengan wajah,0,0,0,0,0,0,0
Partai uhuk keadilan antek sejahtera komunis uhuk,0,1,0,1,0,0,2
ini baru berita ppp tolak pencalonan presiden jokowi baru didukung partai demokrasi indonesia perjuangan ppp tolak jokowi menjadi presiden dua periode partai persatuan pembangunan ppp kubu bermain disc jockey fariz dengan tegas menolak jokowi kembali memimpin indonesia untuk dua periode,0,0,0,0,0,0,0
tenggelamkan itu bocah kepalanya korengan yang maha selangit menangislah kamu keparat dalam secepatnya,1,0,0,0,1,0,2
